region,week,lineage,count
Актобе,0,L4_Euro_American,18
Актобе,0,L2_Beijing_MDR,1
Актобе,0,L3_CAS,5
Актобе,1,L4_Euro_American,17
Актобе,1,L2_Beijing_MDR,2
Актобе,1,L3_CAS,5
Актобе,2,L4_Euro_American,16
Актобе,2,L2_Beijing_MDR,3
Актобе,2,L3_CAS,5
Актобе,3,L4_Euro_American,16
Актобе,3,L2_Beijing_MDR,4
Актобе,3,L3_CAS,5
Актобе,4,L4_Euro_American,15
Актобе,4,L2_Beijing_MDR,5
Актобе,4,L3_CAS,4
Актобе,5,L4_Euro_American,14
Актобе,5,L2_Beijing_MDR,6
Актобе,5,L3_CAS,4
Актобе,6,L4_Euro_American,14
Актобе,6,L2_Beijing_MDR,6
Актобе,6,L3_CAS,4
Актобе,7,L4_Euro_American,13
Актобе,7,L2_Beijing_MDR,7
Актобе,7,L3_CAS,4
Актобе,8,L4_Euro_American,12
Актобе,8,L2_Beijing_MDR,8
Актобе,8,L3_CAS,4
Актобе,9,L4_Euro_American,12
Актобе,9,L2_Beijing_MDR,9
Актобе,9,L3_CAS,4
Актобе,10,L4_Euro_American,11
Актобе,10,L2_Beijing_MDR,10
Актобе,10,L3_CAS,4
Актобе,11,L4_Euro_American,10
Актобе,11,L2_Beijing_MDR,11
Актобе,11,L3_CAS,3
Актобе,12,L4_Euro_American,10
Актобе,12,L2_Beijing_MDR,12
Актобе,12,L3_CAS,3
Актобе,13,L4_Euro_American,9
Актобе,13,L2_Beijing_MDR,13
Актобе,13,L3_CAS,3
Актобе,14,L4_Euro_American,9
Актобе,14,L2_Beijing_MDR,13
Актобе,14,L3_CAS,3
Актобе,15,L4_Euro_American,8
Актобе,15,L2_Beijing_MDR,14
Актобе,15,L3_CAS,3
Актобе,16,L4_Euro_American,7
Актобе,16,L2_Beijing_MDR,15
Актобе,16,L3_CAS,3
Актобе,17,L4_Euro_American,7
Актобе,17,L2_Beijing_MDR,16
Актобе,17,L3_CAS,2
Актобе,18,L4_Euro_American,6
Актобе,18,L2_Beijing_MDR,17
Актобе,18,L3_CAS,2
Актобе,19,L4_Euro_American,5
Актобе,19,L2_Beijing_MDR,18
Актобе,19,L3_CAS,2
Алматы,0,L4_Euro_American,45
Алматы,0,L2_Beijing_MDR,4
Алматы,0,L3_CAS,14
Алматы,1,L4_Euro_American,43
Алматы,1,L2_Beijing_MDR,6
Алматы,1,L3_CAS,13
Алматы,2,L4_Euro_American,41
Алматы,2,L2_Beijing_MDR,8
Алматы,2,L3_CAS,13
Алматы,3,L4_Euro_American,40
Алматы,3,L2_Beijing_MDR,10
Алматы,3,L3_CAS,12
Алматы,4,L4_Euro_American,38
Алматы,4,L2_Beijing_MDR,12
Алматы,4,L3_CAS,12
Алматы,5,L4_Euro_American,37
Алматы,5,L2_Beijing_MDR,15
Алматы,5,L3_CAS,12
Алматы,6,L4_Euro_American,35
Алматы,6,L2_Beijing_MDR,17
Алматы,6,L3_CAS,11
Алматы,7,L4_Euro_American,33
Алматы,7,L2_Beijing_MDR,19
Алматы,7,L3_CAS,11
Алматы,8,L4_Euro_American,32
Алматы,8,L2_Beijing_MDR,21
Алматы,8,L3_CAS,10
Алматы,9,L4_Euro_American,30
Алматы,9,L2_Beijing_MDR,23
Алматы,9,L3_CAS,10
Алматы,10,L4_Euro_American,29
Алматы,10,L2_Beijing_MDR,26
Алматы,10,L3_CAS,10
Алматы,11,L4_Euro_American,27
Алматы,11,L2_Beijing_MDR,28
Алматы,11,L3_CAS,9
Алматы,12,L4_Euro_American,25
Алматы,12,L2_Beijing_MDR,30
Алматы,12,L3_CAS,9
Алматы,13,L4_Euro_American,24
Алматы,13,L2_Beijing_MDR,32
Алматы,13,L3_CAS,8
Алматы,14,L4_Euro_American,22
Алматы,14,L2_Beijing_MDR,34
Алматы,14,L3_CAS,8
Алматы,15,L4_Euro_American,21
Алматы,15,L2_Beijing_MDR,37
Алматы,15,L3_CAS,8
Алматы,16,L4_Euro_American,19
Алматы,16,L2_Beijing_MDR,39
Алматы,16,L3_CAS,7
Алматы,17,L4_Euro_American,17
Алматы,17,L2_Beijing_MDR,41
Алматы,17,L3_CAS,7
Алматы,18,L4_Euro_American,16
Алматы,18,L2_Beijing_MDR,43
Алматы,18,L3_CAS,6
Алматы,19,L4_Euro_American,14
Алматы,19,L2_Beijing_MDR,45
Алматы,19,L3_CAS,6
Астана,0,L4_Euro_American,36
Астана,0,L2_Beijing_MDR,3
Астана,0,L3_CAS,11
Астана,1,L4_Euro_American,34
Астана,1,L2_Beijing_MDR,4
Астана,1,L3_CAS,10
Астана,2,L4_Euro_American,33
Астана,2,L2_Beijing_MDR,6
Астана,2,L3_CAS,10
Астана,3,L4_Euro_American,32
Астана,3,L2_Beijing_MDR,8
Астана,3,L3_CAS,10
Астана,4,L4_Euro_American,30
Астана,4,L2_Beijing_MDR,10
Астана,4,L3_CAS,9
Астана,5,L4_Euro_American,29
Астана,5,L2_Beijing_MDR,12
Астана,5,L3_CAS,9
Астана,6,L4_Euro_American,28
Астана,6,L2_Beijing_MDR,13
Астана,6,L3_CAS,9
Астана,7,L4_Euro_American,27
Астана,7,L2_Beijing_MDR,15
Астана,7,L3_CAS,8
Астана,8,L4_Euro_American,25
Астана,8,L2_Beijing_MDR,17
Астана,8,L3_CAS,8
Астана,9,L4_Euro_American,24
Астана,9,L2_Beijing_MDR,19
Астана,9,L3_CAS,8
Астана,10,L4_Euro_American,23
Астана,10,L2_Beijing_MDR,20
Астана,10,L3_CAS,8
Астана,11,L4_Euro_American,21
Астана,11,L2_Beijing_MDR,22
Астана,11,L3_CAS,7
Астана,12,L4_Euro_American,20
Астана,12,L2_Beijing_MDR,24
Астана,12,L3_CAS,7
Астана,13,L4_Euro_American,19
Астана,13,L2_Beijing_MDR,26
Астана,13,L3_CAS,7
Астана,14,L4_Euro_American,18
Астана,14,L2_Beijing_MDR,27
Астана,14,L3_CAS,6
Астана,15,L4_Euro_American,16
Астана,15,L2_Beijing_MDR,29
Астана,15,L3_CAS,6
Астана,16,L4_Euro_American,15
Астана,16,L2_Beijing_MDR,31
Астана,16,L3_CAS,6
Астана,17,L4_Euro_American,14
Астана,17,L2_Beijing_MDR,33
Астана,17,L3_CAS,5
Астана,18,L4_Euro_American,12
Астана,18,L2_Beijing_MDR,34
Астана,18,L3_CAS,5
Астана,19,L4_Euro_American,11
Астана,19,L2_Beijing_MDR,36
Астана,19,L3_CAS,5
Караганда,0,L4_Euro_American,22
Караганда,0,L2_Beijing_MDR,2
Караганда,0,L3_CAS,7
